class_name	semester	cnt
物联2301	2023-2024-1	18
物联2301	2023-2024-2	11
物联2301	2024-2025-1	7
物联2301	2024-2025-2	10
物联2301	2025-2026-1	6
物联2301	2025-2026-2	5
物联2401	2024-2025-1	16
物联2401	2024-2025-2	15
物联2401	2025-2026-1	18
物联2401	2025-2026-2	10
物联2402	2024-2025-1	18
物联2402	2024-2025-2	11
物联2402	2025-2026-1	7
物联2402	2025-2026-2	10
电信2301	2023-2024-1	9
电信2301	2023-2024-2	11
电信2301	2024-2025-1	16
电信2301	2024-2025-2	10
电信2301	2025-2026-1	6
电信2301	2025-2026-2	5
电信2302	2023-2024-1	18
电信2302	2023-2024-2	11
电信2302	2024-2025-1	8
电信2302	2024-2025-2	9
电信2302	2025-2026-1	6
电信2302	2025-2026-2	5
电信2401	2024-2025-1	16
电信2401	2024-2025-2	15
电信2401	2025-2026-1	8
电信2401	2025-2026-2	9
电信2402	2024-2025-1	18
电信2402	2024-2025-2	11
电信2402	2025-2026-1	8
电信2402	2025-2026-2	9
网工2301	2023-2024-1	9
网工2301	2023-2024-2	10
网工2301	2024-2025-1	16
网工2301	2024-2025-2	17
网工2301	2025-2026-1	6
网工2301	2025-2026-2	6
网工2302	2023-2024-1	18
网工2302	2023-2024-2	10
网工2302	2024-2025-1	7
网工2302	2024-2025-2	10
网工2302	2025-2026-1	6
网工2302	2025-2026-2	6
网工2401	2024-2025-1	16
网工2401	2024-2025-2	15
网工2401	2025-2026-1	18
网工2401	2025-2026-2	10
网工2402	2024-2025-1	18
网工2402	2024-2025-2	10
网工2402	2025-2026-1	7
网工2402	2025-2026-2	10
英语2301	2023-2024-1	15
英语2301	2023-2024-2	14
英语2301	2024-2025-1	15
英语2301	2024-2025-2	14
英语2301	2025-2026-1	15
英语2301	2025-2026-2	15
英语2401	2024-2025-1	16
英语2401	2024-2025-2	15
英语2401	2025-2026-1	7
英语2401	2025-2026-2	8
英语2402	2024-2025-1	18
英语2402	2024-2025-2	8
英语2402	2025-2026-1	7
英语2402	2025-2026-2	8
营销2301	2023-2024-1	18
营销2301	2023-2024-2	9
营销2301	2024-2025-1	7
营销2301	2024-2025-2	7
营销2301	2025-2026-1	5
营销2301	2025-2026-2	4
营销2401	2024-2025-1	16
营销2401	2024-2025-2	10
营销2401	2025-2026-1	7
营销2401	2025-2026-2	7
营销2402	2024-2025-1	18
营销2402	2024-2025-2	9
营销2402	2025-2026-1	7
营销2402	2025-2026-2	7
计科2301	2023-2024-1	16
计科2301	2023-2024-2	18
计科2301	2024-2025-1	18
计科2301	2024-2025-2	17
计科2301	2025-2026-1	18
计科2301	2025-2026-2	18
计科2302	2023-2024-1	18
计科2302	2023-2024-2	10
计科2302	2024-2025-1	7
计科2302	2024-2025-2	10
计科2302	2025-2026-1	6
计科2302	2025-2026-2	6
计科2401	2024-2025-1	18
计科2401	2024-2025-2	18
计科2401	2025-2026-1	18
计科2401	2025-2026-2	18
计科2402	2024-2025-1	18
计科2402	2024-2025-2	10
计科2402	2025-2026-1	7
计科2402	2025-2026-2	10
通信2301	2023-2024-1	18
通信2301	2023-2024-2	11
通信2301	2024-2025-1	8
通信2301	2024-2025-2	9
通信2301	2025-2026-1	6
通信2301	2025-2026-2	5
通信2302	2023-2024-1	18
通信2302	2023-2024-2	11
通信2302	2024-2025-1	8
通信2302	2024-2025-2	9
通信2302	2025-2026-1	6
通信2302	2025-2026-2	5
通信2401	2024-2025-1	16
通信2401	2024-2025-2	15
通信2401	2025-2026-1	8
通信2401	2025-2026-2	9
通信2402	2024-2025-1	18
通信2402	2024-2025-2	11
通信2402	2025-2026-1	8
通信2402	2025-2026-2	9
